i	sum_f	sum_d	real	error_f	error_d
3560000	0.347795	0.356	0.356	0.0230481	-2.80925e-07
3570000	0.348689	0.357	0.357	0.0232803	-2.80138e-07
3580000	0.349583	0.358	0.358	0.0235112	-2.79355e-07
3590000	0.350477	0.359	0.359	0.0237408	-2.78577e-07
3600000	0.351371	0.36	0.36	0.0239691	-2.77804e-07
3610000	0.352265	0.361	0.361	0.0241961	-2.77034e-07
3620000	0.353159	0.362	0.362	0.0244219	-2.76269e-07
3630000	0.354053	0.363	0.363	0.0246464	-2.75508e-07
3640000	0.354947	0.364	0.364	0.0248697	-2.74751e-07
3650000	0.355841	0.365	0.365	0.0250918	-2.73999e-07
3660000	0.356736	0.366	0.366	0.0253127	-2.7325e-07
3670000	0.35763	0.367	0.367	0.0255324	-2.72506e-07
3680000	0.358524	0.368	0.368	0.0257508	-2.71765e-07
3690000	0.359418	0.369	0.369	0.0259681	-2.71029e-07
3700000	0.360312	0.37	0.37	0.0261842	-2.70296e-07
3710000	0.361206	0.371	0.371	0.0263992	-2.69568e-07
3720000	0.3621	0.372	0.372	0.026613	-2.68843e-07
3730000	0.362994	0.373	0.373	0.0268256	-2.68123e-07
3740000	0.363888	0.374	0.374	0.0270371	-2.67406e-07
3750000	0.364782	0.375	0.375	0.0272475	-2.66693e-07
3760000	0.365676	0.376	0.376	0.0274568	-2.65983e-07
3770000	0.36657	0.377	0.377	0.0276649	-2.65278e-07
3780000	0.367464	0.378	0.378	0.027872	-2.64576e-07
3790000	0.368358	0.379	0.379	0.0280779	-2.63878e-07
3800000	0.369253	0.38	0.38	0.0282828	-2.63184e-07
3810000	0.370147	0.381	0.381	0.0284866	-2.62493e-07
3820000	0.371041	0.382	0.382	0.0286893	-2.61806e-07
3830000	0.371935	0.383	0.383	0.028891	-2.61123e-07
3840000	0.372829	0.384	0.384	0.0290916	-2.60443e-07
3850000	0.373723	0.385	0.385	0.0292912	-2.59766e-07
3860000	0.374617	0.386	0.386	0.0294898	-2.59093e-07
3870000	0.375511	0.387	0.387	0.0296873	-2.58424e-07
3880000	0.376405	0.388	0.388	0.0298838	-2.57758e-07
3890000	0.377299	0.389	0.389	0.0300793	-2.57096e-07
3900000	0.378193	0.39	0.39	0.0302738	-2.56436e-07
3910000	0.379087	0.391	0.391	0.0304673	-2.55781e-07
3920000	0.379981	0.392	0.392	0.0306598	-2.55128e-07
3930000	0.380875	0.393	0.393	0.0308513	-2.54479e-07
3940000	0.38177	0.394	0.394	0.0310419	-2.53833e-07
3950000	0.382664	0.395	0.395	0.0312314	-2.53191e-07
3960000	0.383558	0.396	0.396	0.0314201	-2.52551e-07
3970000	0.384452	0.397	0.397	0.0316078	-2.51915e-07
3980000	0.385346	0.398	0.398	0.0317945	-2.51282e-07
3990000	0.38624	0.399	0.399	0.0319803	-2.50653e-07
4000000	0.387134	0.4	0.4	0.0321652	-2.50026e-07
4010000	0.388028	0.401	0.401	0.0323491	-2.49403e-07
4020000	0.388922	0.402	0.402	0.0325322	-2.48782e-07
4030000	0.389816	0.403	0.403	0.0327143	-2.48165e-07
4040000	0.39071	0.404	0.404	0.0328955	-2.47551e-07
4050000	0.391604	0.405	0.405	0.0330759	-2.4694e-07
4060000	0.392498	0.406	0.406	0.0332553	-2.46332e-07
4070000	0.393392	0.407	0.407	0.0334339	-2.45726e-07
4080000	0.394286	0.408	0.408	0.0336116	-2.45124e-07
4090000	0.395181	0.409	0.409	0.0337884	-2.44525e-07
4100000	0.396075	0.41	0.41	0.0339643	-2.43929e-07
4110000	0.396969	0.411	0.411	0.0341394	-2.43335e-07
4120000	0.397863	0.412	0.412	0.0343137	-2.42745e-07
4130000	0.398757	0.413	0.413	0.0344871	-2.42157e-07
4140000	0.399651	0.414	0.414	0.0346597	-2.41572e-07
4150000	0.400545	0.415	0.415	0.0348314	-2.4099e-07
4160000	0.401439	0.416	0.416	0.0350023	-2.40411e-07
4170000	0.402333	0.417	0.417	0.0351724	-2.39834e-07
4180000	0.403227	0.418	0.418	0.0353417	-2.39261e-07
4190000	0.404121	0.419	0.419	0.0355101	-2.3869e-07
4200000	0.405015	0.42	0.42	0.0356778	-2.38122e-07
4210000	0.405909	0.421	0.421	0.0358447	-2.37556e-07
4220000	0.406803	0.422	0.422	0.0360108	-2.36993e-07
4230000	0.407698	0.423	0.423	0.0361761	-2.36433e-07
4240000	0.408592	0.424	0.424	0.0363406	-2.35875e-07
